TAS1;TAS2;TAS3;TAS4;TAS5;TAS6;TAS7;TAS8;TAS9;TAS10;TAS11;TAS12;TAS13;TAS14;TAS15;TAS16;TAS17;TAS18;TAS19;TAS20;f1;f2;f3;total;sim_A;sim_B
3;2;5;4;1;4;3;4;3;2;2;3;4;3;4;5;3;1;3;5;25;14;25;64;12;9.4
3;2;1;2;2;3;1;3;3;2;2;1;1;1;3;3;1;2;2;2;13;8;19;40;6;4.6
5;5;1;4;1;1;4;5;5;2;3;5;1;5;3;5;4;1;1;3;22;21;21;64;10.5;8.2
4;2;1;2;2;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;10;9;9;28;4.5;3.4
4;4;5;5;3;3;2;4;3;2;4;5;3;5;4;4;5;3;4;2;25;23;26;74;12;9.4
2;1;5;1;3;1;1;1;1;1;3;1;1;1;2;1;5;1;5;1;12;11;15;38;5.5;4.2
2;3;3;3;3;4;3;1;4;1;3;3;3;1;1;2;4;2;1;4;20;16;15;51;9.5;7.4
2;2;1;2;4;2;5;2;3;1;3;1;3;4;2;2;2;3;4;3;20;10;21;51;9.5;7.4
2;3;1;2;5;4;5;5;4;1;3;5;1;1;5;5;3;2;2;1;18;16;26;60;8.5;6.6
2;2;1;2;1;1;3;2;1;2;3;1;1;1;2;2;3;1;1;1;10;11;12;33;4.5;3.4
3;2;1;4;3;2;2;4;3;1;1;1;1;1;4;5;1;1;2;4;13;9;24;46;6;4.6
3;4;1;4;2;3;3;3;4;1;4;4;4;3;2;3;1;3;1;2;21;17;17;55;10;7.8
3;5;4;5;2;1;1;2;2;1;3;2;1;1;5;3;5;1;1;1;13;20;16;49;6;4.6
3;4;1;2;3;4;1;3;4;1;4;4;3;3;2;3;2;1;1;3;19;16;17;52;9;7
4;3;1;2;5;1;3;3;5;1;3;5;3;2;2;5;2;1;1;3;19;15;21;55;9;7
2;2;1;2;1;4;4;1;2;1;2;1;1;2;1;1;2;1;1;1;16;9;8;33;7.5;5.8
4;1;3;2;3;1;4;3;1;1;3;4;1;1;2;3;4;3;1;3;15;14;19;48;7;5.4
4;4;2;3;1;5;3;4;2;2;4;4;2;4;2;1;2;5;3;5;22;17;23;62;10.5;8.2
3;5;4;5;1;3;3;1;4;1;4;1;2;1;3;5;4;2;1;4;20;19;18;57;9.5;7.4
5;3;1;2;2;2;2;3;2;2;2;4;2;2;2;3;4;1;2;3;16;15;18;49;7.5;5.8
4;4;1;5;2;3;1;3;4;2;4;4;1;1;1;3;4;2;3;3;15;21;19;55;7;5.4
1;2;1;3;2;4;3;2;4;1;3;2;3;2;2;1;3;2;2;3;18;13;15;46;8.5;6.6
4;4;4;3;4;3;2;3;4;2;4;4;4;4;3;3;4;2;2;4;25;19;23;67;12;9.4
4;4;3;2;2;3;5;2;3;2;4;4;5;4;4;2;4;1;1;3;27;18;17;62;13;10.2
2;3;3;2;4;1;4;3;4;2;2;3;2;1;4;4;1;2;2;1;17;11;22;50;8;6.2
4;2;1;2;1;2;5;5;4;1;2;3;1;1;5;3;5;1;1;1;18;14;18;50;8.5;6.6
4;5;4;4;3;3;5;2;4;3;3;2;4;3;3;3;1;2;2;3;27;15;21;63;13;10.2
4;3;1;2;3;3;4;4;4;1;3;3;4;2;2;3;3;2;2;2;22;14;19;55;10.5;8.2
1;4;1;4;1;3;4;2;4;1;5;1;2;1;3;5;2;2;2;5;16;16;21;53;7.5;5.8
4;4;4;3;2;1;2;3;2;1;1;3;3;2;3;1;2;2;3;1;18;13;16;47;8.5;6.6
2;3;1;3;2;2;1;2;3;2;3;3;2;2;2;1;4;2;2;1;13;16;14;43;6;4.6
4;1;3;2;2;1;2;5;1;1;2;3;1;2;2;4;1;1;2;2;14;9;19;42;6.5;5
3;4;4;3;4;1;2;3;3;3;3;2;2;2;3;5;5;1;1;5;17;17;25;59;8;6.2
1;2;1;1;2;2;4;3;2;4;4;2;2;2;4;3;4;2;2;1;14;13;21;48;6.5;5
